
,KAS RT 04,,,,,, REKAP , SALDO AWAL ,"Rp4,300,000.00",
,,,,,,,, SALDO AKHIR ,"Rp4,204,300.00",

,BULAN,,2024,,,,, PEMASUKAN ,"Rp803,300.00",
,Desember ,,,,,,, PENGELUARAN ,"Rp899,000.00",

,No.,TANGGAL ,DESKRIPSI ,,,, PENDAPATAN  , PENGELUARAN  , BALANCE ,
,1,31 December 2024,Saldo Awal,,,,,,"Rp4,300,000.00",
,2,31 December 2024,Jimpitan :,,,,,,"Rp4,300,000.00",
,,,- Senin ,,,,"Rp135,000.00",,"Rp4,435,000.00",
,,,- Selasa,,,,"Rp120,000.00",,"Rp4,555,000.00",
,,,- Rabu,,,,"Rp60,000.00",,"Rp4,615,000.00",
,,,- Kamis,,,,"Rp80,000.00",,"Rp4,695,000.00",
,,,- Jumat,,,,"Rp65,100.00",,"Rp4,760,100.00",
,,,- Sabtu,,,,"Rp110,200.00",,"Rp4,870,300.00",
,,,- Minggu,,,,"Rp108,000.00",,"Rp4,978,300.00",

,3,31 December 2024,"Parkir ""Sederek Store"" ",,,,"Rp125,000.00",,"Rp125,000.00",
,,,,,,,,,,
,4,31 December 2024,Ambil Tong Sampah ke Solo - Pak Didi S.,,,,,"Rp550,000.00",,
,5,31 December 2024,Kerjabakti (snack dll.) - Pak Marso,,,,,"Rp279,000.00","-Rp279,000.00",
,6,31 December 2024,Lampu utk jalan Selasih - Pak Tanto ,,,,,"Rp70,000.00","-Rp349,000.00",
,,,,,,,,,,
,,,,,,,,,,


